"Exp","DayOfImaging","Watering.Regime","Mean","NSFTV.ID"
"E2",3,"Control",19757,"NSFTV_651"
"E2",23,"Control",334689,"NSFTV_651"
"E2",23,"Low water",134766,"NSFTV_651"
"E2",4,"Low water",22285,"NSFTV_651"
"E2",5,"Control",29831,"NSFTV_651"
"E2",5,"Low water",28239,"NSFTV_651"
"E2",6,"Control",32876,"NSFTV_651"
"E2",6,"Low water",32591,"NSFTV_651"
"E2",7,"Control",38939,"NSFTV_651"
"E2",20,"Low water",120796,"NSFTV_651"
"E2",21,"Control",277941,"NSFTV_651"
"E2",21,"Low water",126894,"NSFTV_651"
"E2",22,"Control",315098,"NSFTV_651"
"E2",22,"Low water",130348,"NSFTV_651"
"E2",18,"Low water",109815,"NSFTV_651"
"E2",19,"Control",226805,"NSFTV_651"
"E2",19,"Low water",117367,"NSFTV_651"
"E2",18,"Control",206901,"NSFTV_651"
"E2",20,"Control",252246,"NSFTV_651"
"E3",0,"Control",9789.5,"NSFTV_647"
"E3",0,"Low water",8685.5,"NSFTV_647"
"E3",14,"Control",160572,"NSFTV_647"
"E3",10,"Low water",58736,"NSFTV_647"
"E3",11,"Control",96885.5,"NSFTV_647"
"E3",11,"Low water",63911.5,"NSFTV_647"
"E3",12,"Control",118594,"NSFTV_647"
"E3",12,"Low water",70463.5,"NSFTV_647"
"E3",13,"Control",139027,"NSFTV_647"
"E3",13,"Low water",77284,"NSFTV_647"
"E3",20,"Low water",107682.5,"NSFTV_647"
"E3",14,"Low water",76138,"NSFTV_647"
"E3",15,"Control",193247,"NSFTV_647"
"E3",15,"Low water",89936.5,"NSFTV_647"
"E3",16,"Control",225699,"NSFTV_647"
"E3",16,"Low water",86742,"NSFTV_647"
"E3",17,"Control",271159.5,"NSFTV_647"
"E3",17,"Low water",85739.5,"NSFTV_647"
"E3",18,"Control",313861.5,"NSFTV_647"
"E3",18,"Low water",93395.5,"NSFTV_647"
"E3",19,"Control",358340.5,"NSFTV_647"
"E3",19,"Low water",96737.5,"NSFTV_647"
"E3",20,"Control",417801.5,"NSFTV_647"
"E2",0,"Control",10321,"NSFTV_647"
"E2",0,"Low water",8632,"NSFTV_647"
"E2",1,"Control",12386,"NSFTV_647"
"E2",1,"Low water",11294,"NSFTV_647"
"E2",2,"Control",15542,"NSFTV_647"
"E2",2,"Low water",14071,"NSFTV_647"
"E2",3,"Control",18626,"NSFTV_647"
"E2",3,"Low water",16887,"NSFTV_647"
"E2",4,"Control",23334,"NSFTV_647"
"E2",4,"Low water",19133,"NSFTV_647"
"E2",5,"Control",28281,"NSFTV_647"
"E2",5,"Low water",22678,"NSFTV_647"
"E2",6,"Control",32580,"NSFTV_647"
"E2",6,"Low water",27043,"NSFTV_647"
"E2",7,"Control",41346,"NSFTV_647"
"E2",7,"Low water",27960,"NSFTV_647"
"E2",8,"Control",53067,"NSFTV_647"
"E2",8,"Low water",32632,"NSFTV_647"
"E2",9,"Control",60979,"NSFTV_647"
"E2",9,"Low water",37545,"NSFTV_647"
"E2",10,"Control",67506,"NSFTV_647"
"E2",10,"Low water",41684,"NSFTV_647"
"E2",11,"Control",81822,"NSFTV_647"
"E2",11,"Low water",52002,"NSFTV_647"
"E2",12,"Control",91012,"NSFTV_647"
"E2",12,"Low water",55090,"NSFTV_647"
"E2",13,"Control",105211,"NSFTV_647"
"E2",13,"Low water",54573,"NSFTV_647"
