"Exp","DayOfImaging","Watering.Regime","Mean","NSFTV.ID"
"E2",8,"Low water",40975,"NSFTV_292"
"E2",9,"Control",49007,"NSFTV_292"
"E2",9,"Low water",43233,"NSFTV_292"
"E2",10,"Control",59603,"NSFTV_292"
"E2",10,"Low water",45552,"NSFTV_292"
"E1",12,"Low water",67414,"NSFTV_292"
"E2",11,"Low water",49779,"NSFTV_292"
"E2",6,"Low water",26826,"NSFTV_292"
"E2",20,"Low water",80139,"NSFTV_292"
"E2",21,"Control",289468,"NSFTV_292"
"E3",8,"Control",62915,"NSFTV_292"
"E3",8,"Low water",38227,"NSFTV_292"
"E3",9,"Control",82312,"NSFTV_292"
"E1",18,"Control",279719,"NSFTV_292"
"E1",18,"Low water",108091,"NSFTV_292"
"E1",19,"Control",323622,"NSFTV_292"
"E3",17,"Control",343576,"NSFTV_292"
"E1",12,"Control",119545,"NSFTV_292"
"E1",17,"Low water",94736,"NSFTV_292"
"E1",13,"Control",136986,"NSFTV_292"
"E1",7,"Control",42784,"NSFTV_292"
"E2",0,"Control",13793,"NSFTV_292"
"E3",21,"Low water",107332,"NSFTV_292"
"E3",22,"Control",714871,"NSFTV_292"
"E3",22,"Low water",112418,"NSFTV_292"
"E3",1,"Control",17320,"NSFTV_292"
"E3",1,"Low water",12218,"NSFTV_292"
"E3",2,"Control",22216,"NSFTV_292"
"E3",2,"Low water",14878,"NSFTV_292"
"E2",3,"Low water",18998,"NSFTV_292"
"E3",16,"Low water",87357,"NSFTV_292"
"E3",6,"Low water",33436,"NSFTV_292"
"E3",7,"Control",56840,"NSFTV_292"
"E3",12,"Control",138273,"NSFTV_292"
"E3",6,"Control",45910,"NSFTV_292"
"E1",10,"Control",85454,"NSFTV_292"
"E1",10,"Low water",54558,"NSFTV_292"
"E3",7,"Low water",36502,"NSFTV_292"
"E1",9,"Low water",43853,"NSFTV_292"
"E1",17,"Control",246877,"NSFTV_292"
"E2",12,"Low water",55827,"NSFTV_292"
"E1",11,"Control",103086,"NSFTV_292"
"E1",11,"Low water",62750,"NSFTV_292"
"E2",12,"Control",86452,"NSFTV_292"
"E2",14,"Low water",69277,"NSFTV_292"
"E2",13,"Control",96889,"NSFTV_292"
"E2",13,"Low water",61341,"NSFTV_292"
"E2",14,"Control",119805,"NSFTV_292"
"E3",0,"Low water",8454,"NSFTV_292"
"E2",15,"Control",145667,"NSFTV_292"
"E2",15,"Low water",75009,"NSFTV_292"
"E2",16,"Control",171766,"NSFTV_292"
"E2",3,"Control",26246,"NSFTV_292"
"E3",12,"Low water",64689,"NSFTV_292"
"E1",7,"Low water",33999,"NSFTV_292"
"E3",0,"Control",11935,"NSFTV_292"
"E1",8,"Control",60044,"NSFTV_292"
"E2",1,"Low water",11704,"NSFTV_292"
"E2",2,"Control",23903,"NSFTV_292"
"E2",2,"Low water",14752,"NSFTV_292"
"E2",8,"Control",66692,"NSFTV_292"
"E1",8,"Low water",38806,"NSFTV_292"
"E2",7,"Control",62452,"NSFTV_292"
"E3",13,"Control",177296,"NSFTV_292"
"E1",13,"Low water",74298,"NSFTV_292"
"E3",16,"Control",283023,"NSFTV_292"
"E3",14,"Control",222234,"NSFTV_292"
"E2",7,"Low water",33707,"NSFTV_292"
"E3",15,"Control",251714,"NSFTV_292"
"E3",13,"Low water",70824,"NSFTV_292"
"E1",16,"Low water",88572,"NSFTV_292"
"E3",14,"Low water",75206,"NSFTV_292"
"E2",1,"Control",19365,"NSFTV_292"
"E3",15,"Low water",79828,"NSFTV_292"
"E1",14,"Control",160405,"NSFTV_292"
"E2",0,"Low water",10763,"NSFTV_292"
"E1",14,"Low water",80096,"NSFTV_292"
"E1",9,"Control",76821,"NSFTV_292"
"E1",16,"Control",205647,"NSFTV_292"
"E1",15,"Control",178553,"NSFTV_292"
"E1",15,"Low water",85509,"NSFTV_292"
"E1",0,"Control",6759,"NSFTV_291"
"E3",17,"Control",101449,"NSFTV_291"
"E2",14,"Low water",47982,"NSFTV_291"
"E3",16,"Low water",61053,"NSFTV_291"
"E3",3,"Low water",11009,"NSFTV_291"
"E3",17,"Low water",64761,"NSFTV_291"
"E2",0,"Control",8316,"NSFTV_291"
"E3",16,"Control",86492,"NSFTV_291"
"E1",6,"Control",27356,"NSFTV_291"
"E2",14,"Control",91082,"NSFTV_291"
"E1",5,"Low water",20145,"NSFTV_291"
"E2",15,"Control",104620,"NSFTV_291"
"E3",3,"Control",8749,"NSFTV_291"
"E2",13,"Low water",42402,"NSFTV_291"
"E3",4,"Low water",12363,"NSFTV_291"
"E2",0,"Low water",8086,"NSFTV_291"
"E3",4,"Control",10870,"NSFTV_291"
"E2",15,"Low water",50530,"NSFTV_291"
"E3",2,"Low water",8976,"NSFTV_291"
"E3",9,"Low water",23469,"NSFTV_291"
"E3",10,"Control",33887,"NSFTV_291"
"E3",15,"Low water",55036,"NSFTV_291"
"E1",19,"Low water",135000,"NSFTV_291"
"E3",9,"Control",26254,"NSFTV_291"
"E1",18,"Low water",133063,"NSFTV_291"
"E3",10,"Low water",31480,"NSFTV_291"
"E3",8,"Control",21667,"NSFTV_291"
"E1",20,"Control",330169,"NSFTV_291"
"E2",16,"Control",119272,"NSFTV_291"
"E1",19,"Control",301496,"NSFTV_291"
"E2",20,"Low water",67566,"NSFTV_291"
"E3",8,"Low water",20982,"NSFTV_291"
"E3",15,"Control",73770,"NSFTV_291"
"E2",20,"Control",192656,"NSFTV_291"
"E3",18,"Control",118234,"NSFTV_291"
"E2",21,"Control",215423,"NSFTV_291"
"E1",6,"Low water",24572,"NSFTV_291"
"E1",20,"Low water",138159,"NSFTV_291"
"E3",0,"Low water",6791,"NSFTV_291"
"E3",1,"Control",6564,"NSFTV_291"
"E3",1,"Low water",7591,"NSFTV_291"
"E3",2,"Control",7119,"NSFTV_291"
"E1",11,"Low water",71666,"NSFTV_291"
"E1",12,"Control",97782,"NSFTV_291"
"E1",12,"Low water",80394,"NSFTV_291"
"E1",13,"Control",115746,"NSFTV_291"
"E1",7,"Control",33116,"NSFTV_291"
"E3",5,"Control",12552,"NSFTV_291"
"E3",5,"Low water",12870,"NSFTV_291"
"E3",6,"Control",14247,"NSFTV_291"
"E3",0,"Control",5051,"NSFTV_291"
"E3",7,"Control",18791,"NSFTV_291"
"E3",7,"Low water",18969,"NSFTV_291"
"E1",10,"Low water",58480,"NSFTV_291"
"E1",11,"Control",83774,"NSFTV_291"
"E2",12,"Control",72326,"NSFTV_291"
"E2",12,"Low water",38406,"NSFTV_291"
"E2",13,"Control",76802,"NSFTV_291"
"E3",22,"Low water",74097,"NSFTV_291"
"E1",5,"Control",21278,"NSFTV_291"
"E2",1,"Control",11217,"NSFTV_291"
"E1",7,"Low water",30762,"NSFTV_291"
"E2",16,"Low water",56971,"NSFTV_291"
"E2",17,"Control",137818,"NSFTV_291"
"E2",17,"Low water",61436,"NSFTV_291"
"E2",18,"Control",163943,"NSFTV_291"
"E2",18,"Low water",65115,"NSFTV_291"
"E2",19,"Control",180850,"NSFTV_291"
"E2",19,"Low water",66548,"NSFTV_291"
"E3",21,"Low water",72362,"NSFTV_291"
"E3",22,"Control",223162,"NSFTV_291"
"E2",6,"Low water",20692,"NSFTV_291"
"E2",7,"Control",36478,"NSFTV_291"
"E1",13,"Low water",86326,"NSFTV_291"
"E3",11,"Control",38932,"NSFTV_291"
"E1",8,"Control",45170,"NSFTV_291"
"E1",8,"Low water",39720,"NSFTV_291"
"E3",6,"Low water",15475,"NSFTV_291"
"E1",9,"Low water",47567,"NSFTV_291"
"E1",10,"Control",72231,"NSFTV_291"
"E2",4,"Low water",15181,"NSFTV_291"
"E2",5,"Control",25374,"NSFTV_291"
"E2",5,"Low water",17734,"NSFTV_291"
"E2",6,"Control",32000,"NSFTV_291"
"E1",4,"Control",16068,"NSFTV_291"
"E1",4,"Low water",17561,"NSFTV_291"
"E3",12,"Low water",40069,"NSFTV_291"
"E2",21,"Low water",68881,"NSFTV_291"
"E3",11,"Low water",37312,"NSFTV_291"
"E3",12,"Control",47391,"NSFTV_291"
"E3",14,"Low water",46741,"NSFTV_291"
"E3",13,"Control",55785,"NSFTV_291"
"E3",13,"Low water",40919,"NSFTV_291"
"E3",14,"Control",64680,"NSFTV_291"
"E3",21,"Control",196493,"NSFTV_291"
"E1",17,"Low water",126003,"NSFTV_291"
"E1",18,"Control",265524,"NSFTV_291"
"E3",20,"Low water",70742,"NSFTV_291"
"E2",22,"Low water",71146,"NSFTV_291"
"E1",0,"Low water",7084,"NSFTV_291"
"E1",1,"Control",7796,"NSFTV_291"
"E2",22,"Control",236535,"NSFTV_291"
"E1",2,"Control",10130,"NSFTV_291"
"E1",2,"Low water",10226,"NSFTV_291"
"E1",3,"Control",12655,"NSFTV_291"
"E1",1,"Low water",8413,"NSFTV_291"
"E2",7,"Low water",22049,"NSFTV_291"
"E1",14,"Control",137537,"NSFTV_291"
"E2",23,"Control",261031,"NSFTV_291"
"E1",3,"Low water",14140,"NSFTV_291"
"E2",3,"Low water",14188,"NSFTV_291"
"E2",4,"Control",20461,"NSFTV_291"
"E1",16,"Low water",114206,"NSFTV_291"
"E1",9,"Control",57459,"NSFTV_291"
"E2",11,"Low water",37508,"NSFTV_291"
"E1",15,"Low water",103574,"NSFTV_291"
"E1",16,"Control",190292,"NSFTV_291"
"E1",17,"Control",223632,"NSFTV_291"
"E1",15,"Control",174535,"NSFTV_291"
"E3",20,"Control",161483,"NSFTV_291"
"E2",23,"Low water",72418,"NSFTV_291"
"E1",14,"Low water",89546,"NSFTV_291"
"E3",19,"Low water",69666,"NSFTV_291"
"E2",2,"Control",14065,"NSFTV_291"
"E2",11,"Control",65124,"NSFTV_291"
"E3",19,"Control",139913,"NSFTV_291"
"E2",1,"Low water",9847,"NSFTV_291"
"E2",10,"Low water",31639,"NSFTV_291"
"E2",8,"Low water",25610,"NSFTV_291"
"E3",18,"Low water",67565,"NSFTV_291"
"E2",10,"Control",52341,"NSFTV_291"
"E2",8,"Control",41064,"NSFTV_291"
"E2",2,"Low water",12315,"NSFTV_291"
"E2",9,"Control",45964,"NSFTV_291"
"E2",3,"Control",16791,"NSFTV_291"
"E2",9,"Low water",27694,"NSFTV_291"
"E3",15,"Low water",50382,"NSFTV_290"
"E1",18,"Control",268373.5,"NSFTV_290"
"E3",15,"Control",136950,"NSFTV_290"
"E1",17,"Low water",130571,"NSFTV_290"
"E2",18,"Control",143311,"NSFTV_290"
"E3",7,"Control",27183,"NSFTV_290"
"E3",14,"Control",117473,"NSFTV_290"
"E3",14,"Low water",46211,"NSFTV_290"
"E1",17,"Control",226024.5,"NSFTV_290"
"E3",6,"Low water",16499,"NSFTV_290"
"E3",7,"Low water",18313,"NSFTV_290"
"E3",13,"Low water",39350,"NSFTV_290"
"E1",19,"Control",308429.5,"NSFTV_290"
"E2",11,"Low water",48086,"NSFTV_290"
"E2",10,"Control",43184,"NSFTV_290"
"E1",18,"Low water",143249.5,"NSFTV_290"
"E3",6,"Control",23423,"NSFTV_290"
"E3",13,"Control",97025,"NSFTV_290"
"E1",16,"Low water",116896,"NSFTV_290"
"E2",10,"Low water",45029,"NSFTV_290"
"E2",11,"Control",49642,"NSFTV_290"
"E2",18,"Low water",75659,"NSFTV_290"
"E2",19,"Control",158796,"NSFTV_290"
"E3",20,"Control",279603,"NSFTV_290"
"E3",20,"Low water",72386,"NSFTV_290"
"E3",5,"Low water",14453,"NSFTV_290"
"E2",2,"Control",8997,"NSFTV_290"
"E2",23,"Control",231116,"NSFTV_290"
"E2",23,"Low water",75293,"NSFTV_290"
"E2",3,"Low water",17091,"NSFTV_290"
"E2",4,"Control",13505,"NSFTV_290"
"E2",2,"Low water",14401,"NSFTV_290"
"E2",3,"Control",11955,"NSFTV_290"
"E3",16,"Control",147018,"NSFTV_290"
"E3",16,"Low water",52915,"NSFTV_290"
"E3",8,"Control",38809,"NSFTV_290"
"E2",12,"Control",51276,"NSFTV_290"
"E2",1,"Control",6517,"NSFTV_290"
"E2",1,"Low water",11437,"NSFTV_290"
"E3",12,"Low water",35687,"NSFTV_290"
"E2",0,"Low water",11586,"NSFTV_290"
"E2",9,"Low water",43898,"NSFTV_290"
"E2",16,"Low water",67517,"NSFTV_290"
"E2",17,"Control",123115,"NSFTV_290"
"E1",16,"Control",194378,"NSFTV_290"
"E3",0,"Control",9739,"NSFTV_290"
"E2",19,"Low water",79380,"NSFTV_290"
"E2",12,"Low water",50502,"NSFTV_290"
"E2",17,"Low water",70822,"NSFTV_290"
"E3",17,"Control",177737,"NSFTV_290"
"E3",17,"Low water",57575,"NSFTV_290"
"E3",18,"Control",206737,"NSFTV_290"
"E3",18,"Low water",66265,"NSFTV_290"
"E3",19,"Control",245581,"NSFTV_290"
"E3",19,"Low water",71273,"NSFTV_290"
"E1",9,"Low water",46519,"NSFTV_290"
"E1",10,"Control",70736,"NSFTV_290"
"E1",10,"Low water",58656.5,"NSFTV_290"
"E2",4,"Low water",21474,"NSFTV_290"
"E3",8,"Low water",23530,"NSFTV_290"
"E2",20,"Control",167948,"NSFTV_290"
"E2",13,"Control",58248,"NSFTV_290"
"E2",0,"Control",5072,"NSFTV_290"
"E2",21,"Control",183094,"NSFTV_290"
"E2",21,"Low water",72844,"NSFTV_290"
"E2",22,"Control",206154,"NSFTV_290"
"E2",22,"Low water",75403,"NSFTV_290"
"E3",5,"Control",19555,"NSFTV_290"
"E2",9,"Control",36860,"NSFTV_290"
"E1",3,"Low water",14829,"NSFTV_290"
"E1",4,"Control",17761,"NSFTV_290"
"E1",4,"Low water",17246.5,"NSFTV_290"
"E3",21,"Control",331098,"NSFTV_290"
"E3",9,"Control",43995,"NSFTV_290"
"E3",9,"Low water",26033,"NSFTV_290"
"E3",10,"Control",56575,"NSFTV_290"
"E3",10,"Low water",29605,"NSFTV_290"
"E3",11,"Control",73081,"NSFTV_290"
"E3",11,"Low water",31701,"NSFTV_290"
"E3",12,"Control",81319,"NSFTV_290"
"E1",15,"Low water",107850.5,"NSFTV_290"
"E1",3,"Control",15622.5,"NSFTV_290"
"E3",4,"Low water",11248,"NSFTV_290"
"E1",9,"Control",57388,"NSFTV_290"
"E2",15,"Low water",63368,"NSFTV_290"
"E1",11,"Control",88292.5,"NSFTV_290"
"E3",0,"Low water",6376,"NSFTV_290"
"E3",1,"Control",10358,"NSFTV_290"
"E1",19,"Low water",151807.5,"NSFTV_290"
"E1",20,"Control",335106.5,"NSFTV_290"
"E1",20,"Low water",153387,"NSFTV_290"
"E1",1,"Low water",8305.5,"NSFTV_290"
"E1",2,"Control",11181.5,"NSFTV_290"
"E1",2,"Low water",10956,"NSFTV_290"
"E3",4,"Control",18347,"NSFTV_290"
"E2",14,"Low water",56824,"NSFTV_290"
"E2",15,"Control",87785,"NSFTV_290"
"E3",1,"Low water",7730,"NSFTV_290"
"E2",16,"Control",103940,"NSFTV_290"
"E1",11,"Low water",69494,"NSFTV_290"
"E1",12,"Control",102589,"NSFTV_290"
"E3",3,"Control",14737,"NSFTV_290"
"E2",20,"Low water",80098,"NSFTV_290"
"E3",2,"Control",12037,"NSFTV_290"
"E3",2,"Low water",7800,"NSFTV_290"
"E1",8,"Low water",36811.5,"NSFTV_290"
"E3",3,"Low water",8980,"NSFTV_290"
"E2",8,"Low water",39428,"NSFTV_290"
"E1",8,"Control",46277.5,"NSFTV_290"
"E1",5,"Low water",19734.5,"NSFTV_290"
"E1",12,"Low water",82017.5,"NSFTV_290"
"E1",13,"Control",120041,"NSFTV_290"
"E1",5,"Control",21673.5,"NSFTV_290"
"E1",14,"Control",142736,"NSFTV_290"
"E1",14,"Low water",93499,"NSFTV_290"
"E1",15,"Control",178789.5,"NSFTV_290"
"E1",13,"Low water",85627.5,"NSFTV_290"
"E1",0,"Low water",6565,"NSFTV_290"
"E1",1,"Control",8510,"NSFTV_290"
"E1",6,"Control",29269,"NSFTV_290"
"E2",14,"Control",71647,"NSFTV_290"
"E1",7,"Low water",30905.5,"NSFTV_290"
"E1",7,"Control",38313.5,"NSFTV_290"
"E2",7,"Control",27719,"NSFTV_290"
"E1",0,"Control",6988.5,"NSFTV_290"
"E1",6,"Low water",25777.5,"NSFTV_290"
"E2",8,"Control",31963,"NSFTV_290"
"E3",22,"Low water",77501,"NSFTV_290"
"E2",13,"Low water",54048,"NSFTV_290"
"E2",7,"Low water",36918,"NSFTV_290"
"E2",5,"Low water",24736,"NSFTV_290"
"E2",6,"Control",24408,"NSFTV_290"
"E2",5,"Control",17905,"NSFTV_290"
"E3",22,"Control",388215,"NSFTV_290"
"E2",6,"Low water",29114,"NSFTV_290"
"E3",21,"Low water",73259,"NSFTV_290"
"E2",8,"Control",35875,"NSFTV_289"
"E3",12,"Low water",110434,"NSFTV_289"
"E3",12,"Control",130386,"NSFTV_289"
"E3",11,"Low water",97127,"NSFTV_289"
"E2",21,"Low water",132238,"NSFTV_289"
"E3",11,"Control",107941,"NSFTV_289"
"E2",9,"Low water",55330,"NSFTV_289"
"E2",7,"Low water",46392,"NSFTV_289"
"E2",8,"Low water",52094,"NSFTV_289"
"E2",9,"Control",50330,"NSFTV_289"
"E2",7,"Control",47832,"NSFTV_289"
"E1",18,"Control",345360,"NSFTV_289"
"E1",16,"Low water",105387,"NSFTV_289"
"E1",17,"Control",304421,"NSFTV_289"
"E1",17,"Low water",100692,"NSFTV_289"
"E2",6,"Low water",33358,"NSFTV_289"
"E2",11,"Low water",65733,"NSFTV_289"
"E2",21,"Control",276048,"NSFTV_289"
"E2",0,"Low water",11562,"NSFTV_289"
"E2",1,"Control",16006,"NSFTV_289"
"E3",10,"Control",93303,"NSFTV_289"
"E1",18,"Low water",104649,"NSFTV_289"
"E2",19,"Control",224689,"NSFTV_289"
"E3",10,"Low water",79339,"NSFTV_289"
"E2",1,"Low water",12101,"NSFTV_289"
"E2",18,"Low water",118892,"NSFTV_289"
"E1",15,"Control",233847,"NSFTV_289"
"E1",15,"Low water",109568,"NSFTV_289"
"E3",9,"Control",71555,"NSFTV_289"
"E3",9,"Low water",67097,"NSFTV_289"
"E3",18,"Control",382454,"NSFTV_289"
"E3",18,"Low water",80152,"NSFTV_289"
"E1",16,"Control",273453,"NSFTV_289"
"E1",3,"Control",26515,"NSFTV_289"
"E3",14,"Control",195073,"NSFTV_289"
"E3",14,"Low water",112291,"NSFTV_289"
"E2",12,"Control",87363,"NSFTV_289"
"E2",12,"Low water",70559,"NSFTV_289"
"E2",13,"Control",104263,"NSFTV_289"
"E2",13,"Low water",79720,"NSFTV_289"
"E2",14,"Control",112419,"NSFTV_289"
"E2",14,"Low water",90897,"NSFTV_289"
"E3",4,"Control",24981,"NSFTV_289"
"E3",4,"Low water",33779,"NSFTV_289"
"E2",2,"Control",18243,"NSFTV_289"
"E3",13,"Control",166739,"NSFTV_289"
"E3",13,"Low water",117513,"NSFTV_289"
"E2",18,"Control",209916,"NSFTV_289"
"E3",20,"Low water",84406,"NSFTV_289"
"E3",21,"Control",584170,"NSFTV_289"
"E2",19,"Low water",124954,"NSFTV_289"
"E2",20,"Control",255376,"NSFTV_289"
"E2",20,"Low water",130018,"NSFTV_289"
"E2",0,"Control",14182,"NSFTV_289"
"E3",3,"Low water",27364,"NSFTV_289"
"E3",17,"Low water",93981,"NSFTV_289"
"E1",9,"Control",89994,"NSFTV_289"
"E2",15,"Control",133067,"NSFTV_289"
"E2",2,"Low water",16437,"NSFTV_289"
"E2",3,"Control",26565,"NSFTV_289"
"E2",3,"Low water",21591,"NSFTV_289"
"E2",4,"Control",29493,"NSFTV_289"
"E2",4,"Low water",26515,"NSFTV_289"
"E2",5,"Control",34864,"NSFTV_289"
"E2",5,"Low water",29802,"NSFTV_289"
"E2",6,"Control",41637,"NSFTV_289"
"E3",16,"Low water",108516,"NSFTV_289"
"E3",17,"Control",326055,"NSFTV_289"
"E1",8,"Low water",64403,"NSFTV_289"
"E1",2,"Low water",20030,"NSFTV_289"
"E1",9,"Low water",75124,"NSFTV_289"
"E2",15,"Low water",97696,"NSFTV_289"
"E3",19,"Control",449251,"NSFTV_289"
"E2",10,"Control",56385,"NSFTV_289"
"E2",10,"Low water",59555,"NSFTV_289"
"E2",11,"Control",72916,"NSFTV_289"
"E3",15,"Control",235883,"NSFTV_289"
"E3",15,"Low water",120981,"NSFTV_289"
"E3",16,"Control",280304,"NSFTV_289"
"E3",22,"Low water",93199,"NSFTV_289"
"E3",3,"Control",18109,"NSFTV_289"
"E1",2,"Control",21039,"NSFTV_289"
"E1",7,"Control",63492,"NSFTV_289"
"E3",20,"Control",517215,"NSFTV_289"
"E3",5,"Control",27555,"NSFTV_289"
"E3",5,"Low water",39090,"NSFTV_289"
"E3",19,"Low water",86915,"NSFTV_289"
"E3",22,"Control",651786,"NSFTV_289"
"E2",17,"Low water",113720,"NSFTV_289"
"E3",1,"Control",17241,"NSFTV_289"
"E3",21,"Low water",94673,"NSFTV_289"
"E3",6,"Control",38658,"NSFTV_289"
"E1",14,"Low water",101063,"NSFTV_289"
"E1",1,"Low water",14866,"NSFTV_289"
"E1",8,"Control",74162,"NSFTV_289"
"E3",8,"Control",58400,"NSFTV_289"
"E3",6,"Low water",43148,"NSFTV_289"
"E3",7,"Control",46882,"NSFTV_289"
"E1",3,"Low water",25147,"NSFTV_289"
"E1",7,"Low water",55202,"NSFTV_289"
"E3",8,"Low water",63288,"NSFTV_289"
"E1",1,"Control",16077,"NSFTV_289"
"E3",7,"Low water",53284,"NSFTV_289"
"E1",10,"Control",108052,"NSFTV_289"
"E1",4,"Control",33993,"NSFTV_289"
"E1",19,"Control",313530,"NSFTV_289"
"E3",2,"Low water",22118,"NSFTV_289"
"E1",20,"Control",351189,"NSFTV_289"
"E1",0,"Control",11220,"NSFTV_289"
"E1",0,"Low water",11586,"NSFTV_289"
"E1",19,"Low water",96662,"NSFTV_289"
"E1",14,"Control",216101,"NSFTV_289"
"E1",6,"Low water",45978,"NSFTV_289"
"E1",10,"Low water",83892,"NSFTV_289"
"E3",2,"Control",20933,"NSFTV_289"
"E2",16,"Control",145430,"NSFTV_289"
"E2",16,"Low water",104114,"NSFTV_289"
"E2",17,"Control",184508,"NSFTV_289"
"E1",4,"Low water",28785,"NSFTV_289"
"E1",13,"Low water",106995,"NSFTV_289"
"E3",0,"Low water",14602,"NSFTV_289"
"E2",22,"Low water",132301,"NSFTV_289"
"E3",1,"Low water",17810,"NSFTV_289"
"E1",11,"Control",130363,"NSFTV_289"
"E2",22,"Control",290267,"NSFTV_289"
"E1",13,"Control",185248,"NSFTV_289"
"E2",23,"Control",337838,"NSFTV_289"
"E2",23,"Low water",133234,"NSFTV_289"
"E3",0,"Control",14827,"NSFTV_289"
"E1",12,"Low water",95955,"NSFTV_289"
"E1",6,"Control",54602,"NSFTV_289"
"E1",5,"Control",46939,"NSFTV_289"
"E1",20,"Low water",118508,"NSFTV_289"
"E1",5,"Low water",35019,"NSFTV_289"
"E1",12,"Control",159114,"NSFTV_289"
"E1",11,"Low water",87805,"NSFTV_289"
"E3",8,"Low water",52943,"NSFTV_288"
"E2",4,"Control",26947,"NSFTV_288"
"E1",16,"Low water",127529,"NSFTV_288"
"E3",8,"Control",75877,"NSFTV_288"
"E2",3,"Low water",24213,"NSFTV_288"
"E1",16,"Control",262382,"NSFTV_288"
"E2",9,"Low water",56430,"NSFTV_288"
"E1",3,"Control",34607,"NSFTV_288"
"E2",3,"Control",23210,"NSFTV_288"
"E2",10,"Control",79826,"NSFTV_288"
"E1",15,"Low water",132630,"NSFTV_288"
"E3",1,"Control",15172,"NSFTV_288"
"E2",4,"Low water",26362,"NSFTV_288"
"E2",23,"Low water",134818,"NSFTV_288"
"E1",17,"Low water",124442,"NSFTV_288"
"E3",0,"Low water",14171,"NSFTV_288"
"E3",1,"Low water",17302,"NSFTV_288"
"E1",17,"Control",296470,"NSFTV_288"
"E2",23,"Control",468484,"NSFTV_288"
"E3",7,"Control",54399,"NSFTV_288"
"E2",2,"Control",20397,"NSFTV_288"
"E2",2,"Low water",20288,"NSFTV_288"
"E3",6,"Low water",40527,"NSFTV_288"
"E1",15,"Control",243700,"NSFTV_288"
"E3",7,"Low water",44736,"NSFTV_288"
"E3",9,"Control",96609,"NSFTV_288"
"E3",9,"Low water",67838,"NSFTV_288"
"E3",14,"Control",232611,"NSFTV_288"
"E2",1,"Low water",14275,"NSFTV_288"
"E2",9,"Control",68827,"NSFTV_288"
"E3",13,"Low water",102576,"NSFTV_288"
"E1",5,"Control",53579,"NSFTV_288"
"E1",3,"Low water",34327,"NSFTV_288"
"E1",4,"Control",40736,"NSFTV_288"
"E1",4,"Low water",42384,"NSFTV_288"
"E2",22,"Low water",135889,"NSFTV_288"
"E2",1,"Control",14089,"NSFTV_288"
"E2",8,"Low water",50164,"NSFTV_288"
"E2",22,"Control",414540,"NSFTV_288"
"E1",9,"Control",124707,"NSFTV_288"
"E1",9,"Low water",104253,"NSFTV_288"
"E1",10,"Control",143406,"NSFTV_288"
"E1",8,"Low water",89853,"NSFTV_288"
"E1",11,"Control",169897,"NSFTV_288"
"E1",11,"Low water",112989,"NSFTV_288"
"E3",10,"Control",104029,"NSFTV_288"
"E1",10,"Low water",108855,"NSFTV_288"
"E2",7,"Control",46084,"NSFTV_288"
"E1",14,"Low water",120008,"NSFTV_288"
"E2",8,"Control",54772,"NSFTV_288"
"E3",0,"Control",11391,"NSFTV_288"
"E3",5,"Control",36232,"NSFTV_288"
"E3",5,"Low water",33885,"NSFTV_288"
"E3",6,"Control",44943,"NSFTV_288"
"E2",21,"Control",356325,"NSFTV_288"
"E2",21,"Low water",139515,"NSFTV_288"
"E3",15,"Control",274692,"NSFTV_288"
"E3",15,"Low water",118483,"NSFTV_288"
"E2",5,"Control",31369,"NSFTV_288"
"E2",5,"Low water",32540,"NSFTV_288"
"E2",6,"Control",37517,"NSFTV_288"
"E2",7,"Low water",46138,"NSFTV_288"
"E1",14,"Control",208336,"NSFTV_288"
"E3",4,"Low water",27818,"NSFTV_288"
"E1",1,"Control",19066,"NSFTV_288"
"E1",1,"Low water",21747,"NSFTV_288"
"E1",2,"Control",25949,"NSFTV_288"
"E1",2,"Low water",23821,"NSFTV_288"
"E3",14,"Low water",105276,"NSFTV_288"
"E3",21,"Low water",133354,"NSFTV_288"
"E3",22,"Control",700182,"NSFTV_288"
"E3",16,"Control",307140,"NSFTV_288"
"E1",5,"Low water",49847,"NSFTV_288"
"E1",6,"Control",72814,"NSFTV_288"
"E2",6,"Low water",40073,"NSFTV_288"
"E1",0,"Control",14889,"NSFTV_288"
"E1",0,"Low water",16457,"NSFTV_288"
"E1",8,"Control",96186,"NSFTV_288"
"E3",19,"Low water",122752,"NSFTV_288"
"E3",20,"Control",526334,"NSFTV_288"
"E3",20,"Low water",130719,"NSFTV_288"
"E3",21,"Control",622528,"NSFTV_288"
"E2",15,"Low water",81895,"NSFTV_288"
"E2",16,"Control",192521,"NSFTV_288"
"E3",22,"Low water",138354,"NSFTV_288"
"E1",12,"Control",147690,"NSFTV_288"
"E1",12,"Low water",117255,"NSFTV_288"
"E1",13,"Control",158540,"NSFTV_288"
"E1",13,"Low water",116496,"NSFTV_288"
"E3",4,"Control",30613,"NSFTV_288"
"E2",0,"Low water",11515,"NSFTV_288"
"E2",19,"Low water",129014,"NSFTV_288"
"E2",20,"Control",334492,"NSFTV_288"
"E2",20,"Low water",130498,"NSFTV_288"
"E2",15,"Control",170699,"NSFTV_288"
"E1",18,"Low water",132151,"NSFTV_288"
"E1",19,"Control",395046,"NSFTV_288"
"E2",16,"Low water",92346,"NSFTV_288"
"E1",18,"Control",337328,"NSFTV_288"
"E3",11,"Low water",90646,"NSFTV_288"
"E3",12,"Control",172097,"NSFTV_288"
"E3",10,"Low water",81419,"NSFTV_288"
"E3",11,"Control",133111,"NSFTV_288"
