"V1","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"NSFTV_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_80",1.04510320996635,0.993058568329718,1.11440980099825,1.21444493981275,1.06097942579989,1.04419504153193,0.982044025944755,1.02923439958049,1.01864747056376,0.993729918582525,0.959279307345821,1.00557217432107,0.949400011822427,0.911890790546047,0.934996736268491,0.874777045827487,0.822211578010215,0.773428476779687,0.76716251846222,0.721238105197114,0.653622002028175,NA,NA,NA
"NSFTV_87",0.928227785959745,0.932398476128719,0.833672614058197,0.828440906418201,0.889241182757392,0.867459256520379,0.885200246457178,0.852527511328194,0.837627912711133,0.927176582694708,0.91089864440255,0.873983594225741,0.900414841055281,0.892428644676124,0.840088037960454,0.860823602497552,0.886628821425633,0.834984735235288,0.777231724732286,0.721307458278702,0.654917848428857,NA,NA,NA
"NSFTV_96",1.09409136047666,1.02535068446848,1.03596136274638,1.0302662159307,1.00479160642736,0.914257402657962,0.916270172168539,0.89490476650875,0.853563235402945,0.814633457830279,0.811511331494221,0.777498079716483,0.704684969437333,0.613285890011034,0.525206748551888,0.493334144542212,0.491091634220844,0.437158266264877,0.408634607300872,0.400471954738914,0.371032868548273,NA,NA,NA
"NSFTV_100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_140",1.03304239401496,1.02816479400749,0.909759742499138,0.977807191705272,1.05795175385607,1.03421336206897,0.908879656362228,0.937950461389024,0.936558634726789,0.878388155344823,0.804023805761837,0.802201867978162,0.849447748513169,0.853965095713691,0.760810910121679,0.715418747038886,0.711307559261704,0.697141056391043,0.676917055139615,0.587495116835162,0.510019986188232,NA,NA,NA
"NSFTV_206",1.17644313054302,1.2283174185051,1.10132701889399,1.08331862935385,1.09287166606865,1.00920679886686,0.984064708069914,0.998393310927125,0.975844213077728,0.838583501360747,0.822791452012975,0.762583842440296,0.711230185975701,0.621909013714844,0.543603653473568,0.513812374257967,0.458602189516421,0.405785133905486,0.394302869907941,0.372541482684996,0.388504787419359,NA,NA,NA
"NSFTV_211",1.05680760713919,1.04023229115931,1.12845929911234,1.09692291843833,1.00079348141745,1.00640383114308,1.0741352774996,0.951892972344086,0.90347943728841,0.931812435746744,0.945756952802249,0.905285441983844,0.859490090436523,0.839890108325443,0.791862895553663,0.725639857375372,0.685902933919275,0.599976057569032,0.498234792189841,0.459797622969794,0.426566435829689,NA,NA,NA
