"Exp","Genotype.ID","Replicate","Key","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"E3","UNL022",1,"E3_UNL022_1",180.686272166708,NA,5.95140606601026,3.51742300920646,-2.86207031762654,1.51353394487838,1.44612766918939,0.898101157519357,1.13983193859351,0.580448280602173,1.56895034971698,1.3252820773765,1.09206870501323,1.06078959098016,1.12343288002305,0.990198180188039,0.974016067591689,1.00487576449268,0.97486839769151,0.902990004107574,0.913399207608238,0.856076134181902,NA
"E3","UNL023",1,"E3_UNL023_1",NA,NA,8.42144061602495,3.60102212245033,2.4171519028017,3.04039917524607,2.34049063755964,0.65775213412949,1.94646591318348,1.20659192105558,1.21680004657104,1.19517645348234,0.767059573953584,0.773919768176704,1.04186744831454,0.966790860774649,0.983487496676712,1.03055458829173,1.13129254072282,1.08035630245306,1.12411413587276,1.10320712899944,NA
"E3","UNL024",1,"E3_UNL024_1",NA,8.59191959993971,NA,3.66215089344063,2.46086615135764,-2.45643891993339,1.5131791453743,0.881131265006736,0.640665966547312,1.04098038973809,-0.184482452954905,0.762398960358457,0.621150388595116,0.849029694063521,0.645340435582104,1.01761118337355,1.08494770555878,1.03465753865152,1.13127024091482,1.1175968074583,0.827741263603742,1.12141599107919,NA
"E3","UNL025",1,"E3_UNL025_1",NA,NA,NA,5.41677266685235,1.99460586068402,-0.668322701561224,-5.7132923362372,2.26721305460682,1.85214931197849,-1.86442663143832,0.723360685032777,1.11025896367145,1.31648319130385,0.970622899048813,0.979675514373387,0.814571288939335,1.0156492109513,0.926828564600455,1.07038282103823,1.07438992625019,1.20558361397737,1.12334891031718,NA
"E3","UNL025",2,"E3_UNL025_2",NA,15.8446677848704,9.11353143436047,-0.965294678626351,0.406431990959291,-0.224414539649857,-1.37117340982844,2.5610265808316,2.46687585609327,0.566310681635245,-0.232150172913182,1.39150430865036,1.50145175575343,0.870908931905068,0.751252377029822,1.11251899147056,1.00417032478163,0.964098737829421,1.00941509773338,1.03244871454936,0.968741020603526,1.06203202530156,NA
"E3","UNL026",1,"E3_UNL026_1",28.6933840250694,NA,-0.991716277045979,-0.353784338866308,1.04453717779698,0.31845404184805,0.447637192698386,-1.05028197664581,-0.296689068555913,0.476977384498773,1.09840248322867,0.310609281915308,0.308700443178938,1.13514114613471,1.06624840497848,0.762775095608001,0.654208387591242,0.810859662303318,0.729693203336448,1.0157806607236,0.953310365533363,0.965302381658826,NA
"E3","UNL026",2,"E3_UNL026_2",601.142616395104,NA,9.29288256510947,2.36151685762137,-4.21729728300941,1.44920057832241,0.617297404821906,-0.0449139612341386,1.35169935052544,0.297163302410141,0.678547267654648,1.55978832226561,0.769916322389726,0.981020780957418,0.741406335762131,0.893203391922459,1.10350728320946,1.11758051887003,1.13128734229874,0.587470740241798,1.11041157767503,1.04575331799927,NA
"E3","UNL027",1,"E3_UNL027_1",NA,-6.24388407713605,19.2236415384136,1.71867529543693,2.7509743298275,1.48442013160254,3.04439357669742,0.899523250587816,1.311472951833,0.91643845105845,0.889125273462654,0.978194032483548,1.27545220124278,0.477984665189772,0.887414984583543,0.927948040208672,0.882220951691251,0.966354069802436,1.11828249751733,1.08527875917746,1.16287611367866,0.930762561231103,NA
"E3","UNL027",2,"E3_UNL027_2",NA,NA,-3.56635353122873,1.89141403478206,-0.515759853229508,2.24616238056233,1.36038963253795,1.52502420172533,-0.373398771826138,1.33751245817992,0.7361088583747,1.02854313354756,1.02925464064367,1.09979890864047,1.23284051056415,1.03660101549027,0.930334198139034,1.0072485546575,0.947330298453231,0.959937729419132,1.12253704321972,0.989355075076577,NA
"E3","UNL028",1,"E3_UNL028_1",NA,17.3805556955619,-2.70548532528972,5.08271229055372,2.49614587570834,0.928557248907291,3.35903569741892,2.52985751163164,-0.283283586059908,1.43526381786718,1.19178982144451,1.45403707335157,1.37051149730579,1.11104913936938,1.10033219991947,1.09474522859792,1.08756065406584,0.786886204232506,1.08700122892342,1.07462093634226,1.15024113478117,0.939488523801779,NA
"E3","UNL029",1,"E3_UNL029_1",50.9444327056145,17.6874220114047,5.34170208309788,-6.81408995611733,NA,-0.411711795316061,1.41175650360796,0.996252210319185,1.57996737814817,0.366476068511584,0.612165014849046,0.209971932532407,1.09043098446106,0.832279437558264,-0.00586712169750577,0.790261030276073,1.10352256803669,1.01295818945409,0.907436871432995,0.978842662098125,1.07162475511438,0.783627307059138,NA
"E3","UNL029",2,"E3_UNL029_2",NA,NA,NA,1.16197617057245,1.68338662665624,0.902218928303631,2.34293003095739,1.63400377330678,1.43853671220788,0.0108419294999687,1.45487942207316,1.45408463193031,1.43962312851004,1.0330248257864,1.24886353190129,1.1096929057478,1.00445320638503,0.973647601043245,1.1312894664426,1.11760667957752,0.836668101258013,1.12335889574683,NA
"E3","UNL030",1,"E3_UNL030_1",145.545445937768,NA,21.4569308353781,2.02130960065578,1.41261847550951,1.50095349856049,-0.684098149600019,1.2732008294736,-0.548636358308514,1.11899547727874,1.38259181484915,1.41219011011383,0.350310645653202,0.818755237346221,1.05758157585974,0.874264407871765,0.97860019080479,1.05257254730255,1.03930382427771,1.06528885020574,1.17287638558587,0.980622076474793,NA
"E3","UNL030",2,"E3_UNL030_2",181.530714986367,31.0979509822016,18.5201506594788,NA,3.11491797487733,-1.26493053123561,0.974239073516029,2.02533141478164,0.628078221942356,1.24703870541745,1.13075960820561,1.34167830093105,0.893350713250406,1.17343332638083,1.00810746251819,1.05815452526732,1.01696292172224,0.939057011809016,0.950414406416011,0.750499475277434,0.940703921345661,0.866289054363694,NA
"E3","UNL031",1,"E3_UNL031_1",0,NA,7.11775482576622,4.08708085671063,3.36279726694071,2.43295614023051,1.46145575288461,0.742629722618031,1.53526359425615,1.55436648965304,1.16721241452657,-0.381587660900747,1.36467779042298,0.989031148382369,0.923982811743311,1.13413963434565,1.042935919504,1.04529717937234,1.1051931529745,1.10385540997131,1.09564013601187,1.01150936494881,NA
