v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v
17479	9140	9639	10740	8208	10939	13400	17497	15875	9123	13933	8775	16164	5563	11989	8822	9603	10210	10511	16032	15657	6260	21843	8219	11304	13839	8727	16852	11690	10769	14266	11127	10666	7298	11228	11864	12852	7346	6174	14105	9706	6224	14012	11951	7746	10635	7681	10378	8665	10535	13939	9804	5991	7087	15573	12867	12685.5	10866	6177	15941	8587	4694	13403	9227	13164	16270	5602	14532.5	9574	8702	15200.5	7679	8931	10055	19846	10021.5	5423	18880	14486	11213	7588	8341	9402	12174	11940	8283	10473	8962.5	10608	13238.5	11113	10678	12550	9136	11869	12197	12854	15827	13076	12827	11275	11167.5	13267.5	16095	16039.5	12249.5	6143	8823	8042	10164	14832	12972.5	17705	3404	18363	14296	17913	11510	16759	17978	16765	10614	16302.5	16628.5	4632	11629	10614	11842	9441	12893	13166.5	8048	20585	9869	12635.5	10492.5	10378	12111	9059	9490	13575.5	6694	7519	17567	14499	11431	15157	9559	12882.5	13844	21033	12442	8323	14675	11019	9741	14587	8649	11269	8237	9268	10321	13473.5	7981	12121	6821	9111	8853	8277	7930.5	8495	14420	9833	10921	13040	14889	11220	13873	6988.5	6759	8526	22370	9610	10085	7376	6807	11663	11255	12138	10102	18267	9573.5	7765	8364	13183	9363	8365.5	6577	10142.5	8274	12258	9064	9596	14612	10591	10995	9441	11881	13228	10043	7846	13036	10504	7887	17250	12714	10041	10540	17052	20336	8716	9658	18210	11118	16219	5581	13938	22109	12795	8438	10596	15021	14669	11215	12095	10913	12839	7813	10178	12425	25307	16563	8813	7924	9378	8872	9584	6670	11851	15292	13605	8170	12495	13856	10979	3804	9983	10336	7804	6601	15673	14591	14144	11755	5918	25024	13255	9354	13801	10277	12962	11089	11930	17303	10604	8562	14586	13585	15638	7518	10178	13856	6310	12862	14963	13007	10734	10115	17493	18377	12864	14932	10758	12143	9308	6386	9077	8235	9133	7945	11243	7225	8488	9284	14236	16699	10769	13778	7344	7580	8585	11228	12850	11986	11184	10679	10848	14875	7800	10837	21333	8612	10198	17149	20762	14968	10865	16503	10589	3256	8870	10997	12321	7500	9283	9981	18125	10185	17887	11811	4864	16947	18265	6377	10332	8056	15308	12725	16576
18780	11300	12706	14614	9726	12854	18252	23376	20734	11722	18274	11525	19325	6617	15345	12628	11344	12213	13080	19045	20261	8190	30159	12092	14220	15097	11415	23136	14198	14361	18754	14934	13980	10665	13350	14789	14591	9000	7146	19771	12979	8001	18750	18338	10696	12378	8640	13255	12192	14706	17709	14276	8112	9183	21678	14913	16028	13213	7884	21417	12533	6128	19167	13975	16962.5	19035	7235	19582	11866	10042	19951.5	9557	11619	11789	26964	12131.5	7841.5	25930	16799	13817	8646	11301.5	11882	15682	16480	10051	13109.5	10880	12139	16640.5	10846	12695	17643	13102	15226	16758	15185	21061	16587	16725	15627	13766	16122.5	19653	21630	14979.5	8497	10342	9728	14182	20281	16697	23921	3701	20158	17599	21178.5	15844	19817.5	25033	20125.5	13390.5	21579.5	22279	6234	14489.5	14516	14706	12104	17620	16314.5	11287	25930	14185	16613	13169.5	14544	16436	12505	11856	16776.5	8935	10449	21143	16929	13907	20348	11234	16864	18600	25682	15276.5	11372	21910	14488.5	11698	20349	10333	15627	11752	12787	14444	15926.5	9494	13250	8051	13250	10488	10396	10529	10589	17604	11827	13993	16755	19066	16077	17724	8510	7796	13234	27206	11336	12288	10176	9565	15465	13878	16031	12046	23526	12337.5	9724	10319	18129	13737	10243.5	8640	13318.5	9420	15242	10750	13058	17869	14772	14797	12075	14280	17783	13279	12120	15323	15317	8883	21033	14690	17241	12500	21735	22406	11267	10860	21626	16062	20840	8165	16667	26725	15561	12200	13055	20192	18820	15146	14564	14654	14926	9543	12788	15989	33637	20112	9678	10845	13572	13039	11116	8378	14174	19705	16746	11135	16299	15457	13848	5629	14768	13251	10107	8867	21766	19735	15942	14220	7117	33171	18144	10714	16960	14970	15240	14635	14381	22729	14443	11672	18050	16364	19931	9147	12465	17798	7670	19202	18838	17133	14745	12061	22670	25234	15784	16577	14115	16844	12515	9240	9855	10849	10782	10077	14113	8941	11039	10476	19693	21781	14307	18760	8898	8449	10771	12375	17380	15360	12936	13742	15285	18961	9268	13927	26882	10143	13599	21943	25042	17811	14093	19826	13456	4486	9789	13830	14283	9187	13895	14559	23205	12337	26190	13165	5480	20627	21104	7909	11208	11834	21311	17018	19510
25434	14315	15773	18471	13338	15367	23609	31790	23594	16255	23831	14084	24280	9008	20756	16796	13919	16913	14505	23621	26183	10877	38893	14095	22681	19195	14736	27371	18102	17986	24283	19914	16883	13222	17398	20686	19698	11328	9245	21272	16489	10760	26295	21419	13487	15537	10458	18177	15131	16653	21745	17888	9233	12339	27474	19569	21067	16460.5	9463	28811	14238	8087	24606	15665	21360.5	23874	9078	24258	14797	12214	23351.5	10895	13826	17228	36578	14210	10146	32320	20436	17758	10756	14116	15576	20192	18295	13138	17444	14311.5	15167	20799.5	14034	16408	21345	16574	18873	19513	20271	23774	21782	23537	23509	16499.5	19993.5	24022	26153	18235	10892	12001	12245	18311	25876	20722.5	29381	3930	22328	22841	25219	19175	24458.5	30861	26128	16792.5	28207	28827.5	7828	19000	17780	20695	15900	24209	21727	15488	36696	16502	21801	16365	17417	19491	14824	13942	21939.5	11140	13325	27828	21513	15923	27421	13374	20991	24008	32731	18144	14982	27788	17639	15215	22144	13899	19227	14123.5	16373	17509	20637	12719	14359	9528	15561	14046	12990	12936.5	13125	22886	14691	18886	23204	25949	21039	21273	11181.5	10130	18887	35330	17298	17373	10631	12585	18544	18304	20580	14016	31038	16263.5	11126	12121	20797	16893	11886	11097	16213.5	11370	19895	15991	15854	22433	16817	20193	16941	19070	22479	15789	15622	19934	19676	11543	27956	19117	18787	16063	25259	28181	13586	14204	29201	21070	31103	10628	21719	36070	18496	15897	18364	24820	22398	20293	18872	18186	20075	13040	17367	21250	42115	24406	13589	12455	18364	17820	14641	10519	16388	24818	20962	14104	21852	19466	19311	7953	18279	18529	14343	12141	26006	28886	19870	16025	9748	45443	23042	12770	20678	18769	18157	16970	17537	28823	16481	14494	21335	20782	28003	11132	14494	21426	10526	22502	21385	22834	18725	15911	29232	37151	20045	19914	15430	17937	13932	10655	11989	14245	14892	12342	16259	10447	13409	13237	24249	26730	20618	24325	12527	10880	12162	16564	22825	19871	18407	15829	20136	21979	12510	18548	31977	12823	18024	30038	30959	22158	16868	23966	17733	7642	12640	15427	18283	12308	18294	18464	27678	16702	35787	16202	7844	27542	25369	11165	12424	15322	27335	21419	25667
29431	20166	20259	24373	17619	20938	28364	40383	31049	19220	27730	19086	32047	13230	28359	20317	20030	20592	19114	35909	32999	14244	47828	16873	28200	26962	20344	36273	26289	23214	27988	24896	21040	15722	22665	27702	25402	15444	12537	30664	21191	15323	32254	26171	15477	19657	13799	23309	18601	21592	31737	26581	11461	14489	35592	28347	26915.5	21206	12723	37804	18101	10478	34548	18590	28072	30159	10343	31212	18353	17145	32996	14646	18597	22526	45501	17746.5	11760.5	39686	30364	23112	13706	18133.5	20014	24164	23221	18827	22553	18438	20194	25852	21099	21949	27774	22364	28259	24402	28337	33540	29671	29385	32217	22679.5	25425	31312	34695.5	28037	13515	15679	15988	22953	36078	26794.5	40180	5181	29208	31389	30612.5	23035	33239.5	39877	34563	22931	37559.5	36383	10041.5	23401.5	21702	26186	21622	30394	28429.5	19944	47976	20595.5	28899.5	20741	24038	26324	18852	19408	26238	14819	14647	36339	28491	19396	34609	17251	26129.5	29539	42897	24328.5	17394	30618	21095.5	20912	28177	17963	25417	16989	19514	23732	26370.5	16663	20232	12638	18317	18017	16790	16667	16772	31689	19830	24104	31130	34607	26515	28484	15622.5	12655	22500	46737	21990	21843	13344	15426	25265	24490	29361	20882	38806	22388.5	14806	17599	24750	21678	14513.5	14337	22600	15651	23508	20335	19152	29646	24666	24510	20358	22820	27733	20324	20213	28119	24075	14302	36541	25623	26812	20657	33898	34326	18308	19622	35914	24494	37475	11966	30344	44113	25619	19411	24944	32338	32461	26243	22644	22852	27538	16974	23622	24909	56577	35133	18317	16125	22693	20427	18090	14929	18765	36459	29381	17086	31362	25011	26204	8879	22498	23911	17233	15427	35407	36435	25257	23937	13393	54518	30299	17744	28815	24478	26896	24714	24291	36694	20877	18529	31356	26713	34617	13810	17506	32307	13106	29074	33068	28010	22758	20933	36335	47336	24513	28144	21069	23899	20182	13440	16224	17203	18227	15190	22191	11468	16670	16614	30637	30440	25825	31085	15499	13992	17391	22955	29649	27651	27080	21434	25367	30412	16069	21132	41313	17497	23273	37199	39384	29324	23615	33234	21644	9835	19140	20187	24804	15600	23120	24176	37213	22109	39715	23722	9035	36218	37277	14004	14813	18932	31568	27902	35337
35704	23061	25198	29482	20275	27305	42522	49719	36650	22638	38657	25261	42899	18751	33170	28083	24300	25837	24501	40972	41306	18283	62401	22569	37741	32131	24931	50863	32933	30292	33480	28826	27206	20664	24831	34577	31901	19483	14651	34200	30772	18481	39914	30559	18739	22988	16351	26992	23009	26323	40400	33785	14525	18563	45239	33819	31236.5	25217.5	15366	47414	23837	12437	36380	25169	35745	37369	14355	39564.5	24855	20243	40578	18092	24185	28743	58666	23427	14476.5	50014	37743	26299	16681	20281.5	26021	34563	30125	21088	27528.5	23390	26671	33459.5	25154	26118	37644	26264	38269	31353	33444	38664	37989	37822	36465	28907	30927.5	39921	43386.5	31587	15927	19524	20525	29533	44094	35272	49678	6515	31562	36970	39960.5	32156	40064.5	52399	43030.5	26963	47707	50180.5	13031	31804	28159	32232	25135	40393	36021.5	23428	54771	27878	35680.5	25784	28618	33455	24778	23041	32248.5	18556	21252	45371	39243	27867	42317	17334	33701	40264	53523	31592	19775	38031	29954.5	28318	32488	22068	32714	22919	25625	30345	33647.5	23537	23753	16953	25392	22799	22423	20918	21246	42030	24133.5	28359	36447	40736	33993	35674	17761	16068	27686	52826	26635	25326	18880	20274	30844	31847	34293	24125	43843	26443	19025	20591	34100	27819	20395	18752	27483.5	20665	28336	24340	22982	33113	31015	33172	25741	26708	36497	26437	25544	32160	32990	16951	44372	31207	34933	24775	39676	42509	22035	23421	41593	31755	49883	16261	36621	48208	32268	25380	28337	41553	40917	30579	31820	29151	31729	19620	28877	33026	69222	41687	21449	21528	29096	24990	21469	19061	24325	45514	34957	22027	37756	26095	29631	9281	25612	29280	22273	18178	47250	43281	31126	26810	15272	72954	38278	21656	40599	29602	33118	29441	28197	48310	29537	23301	37832	33766	42570	18030	23710	44513	16793	38797	42605	35281	28514	24603	45826	56328	31539	38945	27906	32623	24257	17368	20272	19795	21863	17068	29473	14587	20908	20231	36050	38313	34930	40184	19065	17208	24204	26395	37387	34517	32354	28140	33194	38771	17784	25331	51275	22647	26948	45208	49371	33695	29109	33199	31609	10576	24041	25566	26496	18579	30400	30474	44655	28070	50695	30378	12240	45613	49545	16999	18702	24209	36249	32200	43228
50058	29552	30772	34265	22373	33410	53251	64740	50833	28846	49352	32842	50003	23772	40486	37417	31088	32242	29404	47194	55245	24515	74350	28189	48082	37858	31483	61957	40201	38536	42458	37666	33403	25643	29696	45448	43482	23931	17983	40536	36966	21662	53313	43111	24912	27458	20562	36403	29604	35884	47069	42495	18447	26194	54964	41049	42163	32103.5	19581	59758	27868	14438	49214	29590	44520	47651	19261	49035.5	29945	24396	49532.5	20572	27395	40495	73816	27656	19330	62517	43406	33013	20479	26313.5	35530	46758	39953	25906	35362.5	28555	32416	42621.5	27962	30623	43422	37342	49200	35234	42360	49102	45928	50613	48093	33297	37704.5	47207	54615.5	38032.5	20835	22157	21252	40570	53201	45598	59612	7886	37782	44175	51118	40836	47818	63934	52922	35676	62620.5	65697	17427	40451.5	36258	40019	32748	49758	46238	31142	73183	36294	48389.5	32684	34629	40541	30683	31138	43831.5	24619	25839	62488	44722	33322	59988	21179	41511.5	49601	67275	37757.5	26913	51986	37500	33934	37545	27849	41539	27969.5	32857	38682	39471.5	30242	26610	20525	32481	28881	26116	26740	24677	52733	29639	38426	49521	53579	46939	45272	21673.5	21278	34190	69679	33843	32757	23273	27244	36403	41339	44828	29367	57474	32452	22407	24108	45202	38616	22962	24256	34479	24928	37638	32257	28463	40457	36899	43673	36939	33552	50659	33559	33385	41646	41750	21942	58201	42084	41761	31384	49229	56721	26558	31603	51198	42502	65224	21851	46890	63332	42079	34412	35316	49357	49410	37788	43484	37573	36615	27252	35132	42299	80937	48010	23680	26044	40480	31780	25497	22894	34196	56058	48322	28396	51880	34284	37650	14790	33131	38595	29636	23949	53235	54332	42329	33561	19321	92100	46344	27767	48141	35602	38492	33398	36246	63525	36061	29137	47523	37285	55478	21620	28431	49812	20916	47122	49705	42826	34885	31258	62232	70728	40147	45232	34426	41947	31948	21577	23555	24930	26152	20493	36644	18327	26584	27300	46588	50014	44741	51253	24521	20289	28601	32302	48026	38902	38879	35676	43044	46868	20682	31739	62322	28235	35907	58031	61707	43080	36200	41507	34953	13362	29058	31542	32291	25596	42783	41298	53514	35159	65637	37919	17324	61591	57499	22327	24401	34312	43277	37985	54133
59267	38808	38947	43821	27403	43478	63923	79680	68719	37370	62014	38849	60485	29617	50410	45033	37774	40701	35464	63975	68719	30764	94791	33070	55587	47046	40125	76777	52828	50234	50906	49257	43386	28180	42603	57560	50925	32154	22913	52211	47644	27222	62402	49193	31171	32633	25969	47703	38220	44304	63295	48064	22099	32777	70587	52827	51337	40411.5	25470	73174	32393	15867	61521	33962	54680.5	59482	24094	66188	38017	32883	60452.5	24084	34230	47132	88070	33476	23920	77312	51966	40937	23872	29987	41554.5	58958	48344	35796	45746.5	35741.5	39902	52451	35992	41505	57940	43714	59600	41989	53780	62409	57778	64782	65285	41588.5	44625.5	56069	64425.5	51166.5	25212	26116	25827	51129	65192	56892.5	73339	8089	50775	61987	61676.5	48591	61677	79222	65943	45264	82438.5	83146	21248.5	48238	43652	50331	36949	61933	54252	37577	89997	42054.5	56981.5	40505	42217	50694	37712	37205	53406.5	30694	30766	75828	61227	41485	76376	27446	50554.5	64737	81896	46067	32876	67037	45928	35603	41957	36099	54158	32808.5	39997	47835	48974	35324	34593	25793	42070	36314	31829	32557	31499	66896	33353.5	48454	62724	72814	54602	58501	29269	27356	43382	85286	45741	39525	28539	32651	48563	52838	57368	37353	72941	42134.5	26811	30370	53881	47764	26924	32231	40689.5	30497	48755	41711	35919	54850	46882	52906	46388	44377	56465	39878	38993	56076	51557	30034	72507	53546	54077	42045	53530	65080	31815	39915	56189	52458	76088	25882	61294	77357	54853	42558	47597	61078	65966	49721	52510	48945	49001	34139	49818	52185	99728	67998	31352	33725	50165	36240	33049	29917	38852	80499	62954	37420	63318	43964	50141	17618	43270	48058	37051	30222	68322	70011	57351	47499	25472	107120	61197	34756	53308	45721	49345	38984	44273	75152	47805	35268	64698	51309	65667	28880	32936	62512	27847	55507	61672	49412	42541	41909	72805	88494	50225	58011	41335	58268	40610	24272	30492	31523	33708	26153	44454	22662	32896	34690	60020	61369	53836	67950	32534	28986	35366	42223	58778	50225	50354	47425	49196	57688	25521	40896	79513	33942	44409	76465	76693	55327	46960	55716	46195	18341	36228	39931	44964	33710	54086	52825	65854	40575	82623	53656	21184	83384	62466	29811	27151	40774	52672	45985	73106
68715	45678	49372	55081	38441	57824	80586	103271	79152	45643	75957	52336	76457	38746	62526	59661	47952	48304	43882	81277	80632	39586	114239	43892	62863	57047	49662	96488	65122	58353	62440	60807	57258	38867	51475	72221	58766	37888	29069	69856	61600	36528	71321	60259	38343	40972	32878	55978	47094	57860	83318	70252	27675	39166	88816	64850	63916	50313.5	31829	90736	41269	19791	77843	39691	65797	77254	30636	81355	47017	42124	77222.5	30550	45934	56560	101717	41130.5	27778	92219	64336	52972	29446	36230	50986.5	76478	61448	44456	58044.5	42855	52624	69652.5	48961	51499	76407	56496	75956	49749	60995	71652	73097	80532	74475	53649.5	55845.5	76617	79529	63561	31145	33148	32603	61136	82882	70142.5	90474	10223	72278	80540	72832.5	62485	76612	102487	80170	50463	105354	104512	26774.5	58273	53309	60440	48528	78256	64610.5	47824	114360	54004.5	70148	50207.5	52661	65093	46816	45697	66046	38842	39677	83442	81795	55899	90327	37818	65628	86026	100471	56734.5	35777	72881	60634	37846	41936	44218	64929	39923	48859	61870	61430	43016	41641	33605	52983	45911	40403	38547	42860	86510	42538	60031	75352	81374	63492	68205	38313.5	33116	42784	106725	53417	46849	37227	42799	62711	66782	66892	52217	81275	51999	33201	38219	63546	59329	33528	40402	52606.5	45654	58605	54450	43178	65074	62063	65391	56451	50913	68824	55747	49052	65035	62697	39231	89564	63638	72655	50615	65696	76550	40418	47114	64890	63554	86644	32453	76063	92050	70188	53938	57963	76461	81072	57708	70371	59221	59745	40561	67167	64140	120758	73569	36371	45136	64321	45352	37957	38110	42561	100151	81160	50396	80870	53061	62401	20001	56080	61169	46326	35042	78344	86844	65413	52317	33180	128061	77512	42626	64885	54800	61926	50026	57021	93119	61774	42627	76068	70024	81988	37228	41390	80491	34774	78432	78928	53888	52286	47363	89335	103822	63034	77514	52957	72284	52929	30932	37863	36470	41985	33537	61180	26917	39648	43520	72999	74430	70302	84202	40002	36132	44407	49969	72885	65166	59705	56404	62525	72090	32867	44767	94224	43262	55229	90356	95801	67649	58577	62657	58973	22520	47378	45768	52737	40860	62148	67283	75452	50979	98815	65356	27616	97731	72747	34837	31994	51715	68416	60013	87714
84600	59699	62624	69871	45187	70778	106464	125808	97265	60034	97097	70937	104010	51061	71990	80887	61327	66319	60032	98614	92200	56256	136444	57120	73876	65137	62879	123836	85132	74621	85921	74784	70338	55135	63870	95685	78215	50104	35519	85647	77832	44909	88791	79813	47547	51395	39539	72870	62846	74301	98909	82260	35172	49399	106887	78322	81055	59752	40727	103806	56276	25264	97755	48072	77091	92096	39614	99391.5	63652	53136	90586	36636	56113	76197	128512	51726.5	35051.5	109424	87222	64140	42208	43717	65085	95224	81066	54047	66328	57771	64951	87935.5	59889	62742	87946	76455	98187	61525	72612	89296	87321	108972	95447	66313.5	72211.5	90090	104905	79527.5	43349	42695	43336	88833	103531	88893.5	114304	15418	86115	90921	94832.5	81157	92167	124351	111941.5	65743.5	135788	131154.5	34437.5	79022.5	73156	77831	63059	101082	85031.5	56960	145392	72587.5	85004	62631	70789	78259	63924	56430	86480.5	52578	50163	99080	101556	71784	103365	45389	79626	100864	120506	70670.5	50122	90901	73369.5	47142	39827	59327	83825	52202	63982	80745	77371	57128	50778	43725	70831	58401	52698	45939	54985	110227	53219.5	72364	106707	96186	74162	84185	46277.5	45170	60044	126398	72179	59964	52028	55676	77331	84862	80916	60652	105338	65554.5	42373	44996	79244	76568	44124	55164	65659.5	53734	76600	69177	56119	79688	76729	89391	80888	69262	94194	74910	73747	73922	79660	51152	111930	79683	89752	63189	84685	94899	51899	59014	77606	88298	117212	46470	86488	108156	87592	70142	70125	101786	102142	67048	91551	78814	72209	50604	79511	83503	154547	91731	38873	56258	84877	62409	47442	46217	60768	121292	94717	65476	100910	64316	75271	21638	67998	77750	60565	45063	99440	97193	76308	63155	41017	160107	100962	47129	80735	71447	73271	61748	73486	117339	80394	54607	88399	79831	104332	46658	55815	101562	45621	88639	98768	72604	67111	61279	105321	131263	79552	97144	67325	90817	68643	42337	42791	50104	58486	41277	80273	36276	51176	62115	90076	85468	86008	106170	49612	43432	55167	67742	100291	77468	76768	73594	84745	89104	40897	52366	127661	59091	71087	111281	114379	80418	74927	83878	83229	25334	62090	55289	63805	57156	81759	88960	102227	64888	122084	72195	42681	119596	90086	47535	40219	67565	80035	68641	105451
104159	75294	70967	87094	51453	86568	123792	158579	118523	74574	120273	84318	112640	62536	89937	96017	64153	82088	70782	121510	116140	73632	158493	67071	94878	82159	73020	146825	109424	95389	100294	97215	77669	71866	77402	120600	97810	66581	45898	102803	87621	51959	110126	91467	61575	61567	53100	90286	77381	88328	116055	99916	44330	68574	133968	90133	96647	72886.5	49748	124981	67064	35746	115966	58108	93516.5	111441	44443	125357.5	80289	62963	103015.5	44351	65862	88179	156617	55796.5	41392	138891	94242	79095	48133	50633	79606.5	109003	94490	65920	77449.5	67531.5	78263	105235	70908	78838	117231	99879	108209	78683	90759	100299	108188	133091	121437	76122	84154.5	96957	125626	95778	51158	48753	46376	109112	121152	107602.5	118555	20489	96779	109222	114814.5	99658	108606.5	146459	136422.5	85337.5	167222	160803.5	39713	98836	94146	97244	76973	122034	107263.5	70798	179719	85310	99626	74094	82007	89284	77678	67300	103159.5	60747	62090	124099	121146	83293	128304	48607	98671.5	117418	145823	87735.5	63537	112062	89952	55470	47047	73500	105408	64366	80701	100837	89920.5	65504	58644	50567	85713	71600	61633	56198.5	63443	132582	65844	89111	122749	124707	89994	111520	57388	57459	76821	144408	96581	73031	67572	71694	98132	98119	103521	72598	131437	79978	53025	54014	100717	98355	51115	66618	77189.5	60867	95203	82808	67843	91616	87106	108386	102152	92196	104244	86056	88429	85169	96776	68364	138743	92996	110939	78006	109738	124432	61715	74687	95566	110807	140359	56400	100868	132418	111547	84703	83972	112534	130626	81409	114705	94086	94061	65978	93383	96702	170243	110758	48110	72781	104991	76402	58241	54583	73570	153890	119778	84995	128291	73970	96519	28754	78166	94379	73816	57640	114140	124563	89361	73880	49167	187657	117495	59272	99532	82599	85243	67055	81494	149135	96516	67427	102451	92654	118108	55227	68665	113767	56590	102326	106424	89348	79069	74784	129269	157348	89416	115737	85768	108507	87235	54654	51591	65928	76001	50381	99018	46135	63971	75628	103145	100845	94173	135846	68841	51319	67698	83422	116466	93109	91841	94628	96498	100138	49027	63142	143181	71570	84888	135916	130661	94370	80976	95201	99293	28081	70383	64114	82692	73787	100645	115784	111855	74509	145184	92439	60290	146988	110993	60269	50154	92104	91051	77948	126166
